Nome,Preço,Link,Imagem,Cor,Categoria_Principal,Subcategoria,Descricao
"Vestido Comprido, Mulher, Azul",19.99,https://mo-online.com/pt/vestido-comprido-mulher-azul-/000041152258003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf096d6de/images/hires/24daeacf-e86e-4b3a-b360-3d2762399421.jpg?sw=1080&sh=1388,Azul,Vestidos,Macacões,"Vestido Comprido, Mulher, Azul Vestidos Macacões"
"Pack 4 Mini Molas de Cabelo, Menina, Castanho",2.99,https://mo-online.com/pt/pack-4-mini-molas-de-cabelo-menina-castanho/000041146192004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw60f463b2/images/hires/931319cf-f644-4160-86ca-9f10467042b7.jpg?sw=1080&sh=1388,Castanho,Chapéus,,"Pack 4 Mini Molas de Cabelo, Menina, Castanho Chapéus"
"Blusa com Linho, Mulher, Amarelo",22.99,https://mo-online.com/pt/blusa-com-linho-mulher-amarelo/000041152282042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw016ca8c1/images/hires/fcc9b6f1-fdbc-4c8a-8678-3b7bbde7a7c4.jpg?sw=1080&sh=1388,Amarelo,Blusas,Camisas,"Blusa com Linho, Mulher, Amarelo Blusas Camisas"
"Pack Elásticos de Cabelo, Mulher, Preto",3.99,https://mo-online.com/pt/pack-elasticos-de-cabelo-mulher-preto/000041146193002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw427354d3/images/hires/fa3fb559-9dbd-4609-a3c6-cc6c71a2e96f.jpg?sw=1080&sh=1388,Preto,Chapéus,,"Pack Elásticos de Cabelo, Mulher, Preto Chapéus"
"Boné, Mulher, Vermelho",12.99,https://mo-online.com/pt/bone-mulher-vermelho/000041152422040.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3bc2b120/images/hires/cbad6fb1-93d0-4848-b87f-ca531d2a041a.jpg?sw=1080&sh=1388,Vermelho,Chapéus,,"Boné, Mulher, Vermelho Chapéus"
"Pijama Riscas, Mulher, Rosa Claro",22.99,https://mo-online.com/pt/pijama-riscas-mulher-rosa-claro/000041152243030.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf14da544/images/hires/811e221f-6656-405c-9d25-4b897a09e006.jpg?sw=1080&sh=1388,Rosa Claro,Pijamas,,"Pijama Riscas, Mulher, Rosa Claro Pijamas"
"Mola de Cabelo, Mulher, Multicolor",4.99,https://mo-online.com/pt/mola-de-cabelo-mulher-multicolor/000041153078035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwdbfee3cf/images/hires/c797e33d-145a-493d-ac0e-0a2eba3ce02f.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Mola de Cabelo, Mulher, Multicolor Chapéus"
"Pijama Riscas, Mulher, Cinzento Claro",22.99,https://mo-online.com/pt/pijama-riscas-mulher-cinzento-claro/000041152243026.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2dc2b15b/images/hires/f5403d7a-92d7-424e-b4b8-715970cc553c.jpg?sw=1080&sh=1388,Cinzento Claro,Pijamas,,"Pijama Riscas, Mulher, Cinzento Claro Pijamas"
"Calções de Ganga, Mulher, Azul",19.99,https://mo-online.com/pt/calcoes-de-ganga-mulher-azul/000041152280003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw18c3ce26/images/hires/2a4f1542-0573-4aa6-818d-3e86b8e66879.jpg?sw=1080&sh=1388,Azul,Saias,Calções,"Calções de Ganga, Mulher, Azul Saias"
"Mola de Cabelo com Flor, Mulher, Rosa",4.99,https://mo-online.com/pt/mola-de-cabelo-com-flor-mulher-rosa/000041153007038.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw53c66245/images/hires/0af498fb-cbf2-44a3-8b45-e4edb22ceb39.jpg?sw=1080&sh=1388,Rosa,Chapéus,,"Mola de Cabelo com Flor, Mulher, Rosa Chapéus"
"Mola de Cabelo, Mulher, Branco",4.99,https://mo-online.com/pt/mola-de-cabelo-mulher-branco/000041152983041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1b7fb7ea/images/hires/d21e8d4e-bb3a-4e50-9690-b1832b1b0401.jpg?sw=1080&sh=1388,Branco,Chapéus,,"Mola de Cabelo, Mulher, Branco Chapéus"
"Calções de Ganga, Mulher, Cinzento",19.99,https://mo-online.com/pt/calcoes-de-ganga-mulher-cinzento-/000041152280020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc87355f7/images/hires/a27f6cf2-78a5-4091-8e55-cc5ac6c65c16.jpg?sw=1080&sh=1388,Cinzento,Saias,Calções,"Calções de Ganga, Mulher, Cinzento Saias"
"Pijama, Mulher, Verde Claro",15.99,https://mo-online.com/pt/pijama-mulher-verde-claro/000041152313026.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw31d6fd97/images/hires/8072e0f4-d704-48f0-852a-bb8063f26f7f.jpg?sw=1080&sh=1388,Verde Claro,Pijamas,,"Pijama, Mulher, Verde Claro Pijamas"
"Mola de Cabelo, Mulher, Castanho",2.99,https://mo-online.com/pt/mola-de-cabelo-mulher-castanho/000041146195004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw63d66247/images/hires/e4a6e8ea-a52a-4394-a08d-92397ac992c6.jpg?sw=1080&sh=1388,Castanho,Chapéus,,"Mola de Cabelo, Mulher, Castanho Chapéus"
"Pack 5 Elásticos, Mulher, Castanho",1.99,https://mo-online.com/pt/pack-5-elasticos-mulher-castanho/000041152981004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw33f7f688/images/hires/5d8b5379-68f7-4633-9fa4-275df98ca0c9.jpg?sw=1080&sh=1388,Castanho,Chapéus,,"Pack 5 Elásticos, Mulher, Castanho Chapéus"
"Pijama, Mulher, Rosa Claro",15.99,https://mo-online.com/pt/pijama-mulher-rosa-claro/000041152313030.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw378393c3/images/hires/a6d8aece-efe8-4430-a519-7a925207c3c5.jpg?sw=1080&sh=1388,Rosa Claro,Pijamas,,"Pijama, Mulher, Rosa Claro Pijamas"
"Mola de Cabelo Crochet, Mulher, Bege",6.99,https://mo-online.com/pt/mola-de-cabelo-crochet-mulher-bege/000041153077001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw41c3d8f3/images/hires/ed47c3ed-913a-4569-a876-3b8dd57e41b8.jpg?sw=1080&sh=1388,Bege,Chapéus,,"Mola de Cabelo Crochet, Mulher, Bege Chapéus"
"Pack 5 Elásticos às Riscas, Mulher, Multicolor",2.99,https://mo-online.com/pt/pack-5-elasticos-as-riscas-mulher-multicolor/000041152994035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw25b3a47f/images/hires/7050a521-a005-4a16-b41f-7199d08d1ebe.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 5 Elásticos às Riscas, Mulher, Multicolor Chapéus"
"Pack 2 Molas de Cabelo, Mulher, Castanho",4.99,https://mo-online.com/pt/pack-2-molas-de-cabelo-mulher-castanho-/000041152998004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd17c4612/images/hires/27e9779a-7655-4169-8e04-7ca47885f5fd.jpg?sw=1080&sh=1388,Castanho,Chapéus,,"Pack 2 Molas de Cabelo, Mulher, Castanho Chapéus"
"Mola de Cabelo Crochet, Mulher, Lilás",6.99,https://mo-online.com/pt/mola-de-cabelo-crochet-mulher-lilas/000041153077031.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0f24a9f8/images/hires/6cdc477d-eba6-4911-a9b7-f18a35970711.jpg?sw=1080&sh=1388,Lilás,Chapéus,,"Mola de Cabelo Crochet, Mulher, Lilás Chapéus"
"Boné, Mulher, Verde",12.99,https://mo-online.com/pt/bone-mulher-verde-/000041152422019.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw05671167/images/hires/ad4ef151-68d3-41f5-ab8a-fe7cb983295d.jpg?sw=1080&sh=1388,Verde,Chapéus,,"Boné, Mulher, Verde Chapéus"
"Pack 3 Elásticos, Mulher, Multicolor",3.99,https://mo-online.com/pt/pack-3-elasticos-mulher-multicolor-/000041153014035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw329ec889/images/hires/fe69086b-3ff8-458a-8df8-39410d14e494.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 3 Elásticos, Mulher, Multicolor Chapéus"
"Mala, Mulher, Preto",15.99,https://mo-online.com/pt/mala-mulher-preto-/000041152376002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0985eec8/images/hires/f8d772a4-9f8b-4ac8-b4ba-2d65fba597e9.jpg?sw=1080&sh=1388,Preto,Malas & Carteiras,,"Mala, Mulher, Preto Malas & Carteiras"
"Pack 3 Elásticos, Mulher, Multicolor",3.99,https://mo-online.com/pt/pack-3-elasticos-mulher-multicolor-/000041153011035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb7560b3c/images/hires/1eb4ae5e-fdbe-489f-97a7-5d2741d9acdd.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 3 Elásticos, Mulher, Multicolor Chapéus"
"Boné Animal Print, Mulher, Cinzento",9.99,https://mo-online.com/pt/bone-animal-print-mulher-cinzento-/000041152323020.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb7cb61df/images/hires/4f5e2e1d-af71-4497-ae51-13b0b7d7bfbb.jpg?sw=1080&sh=1388,Cinzento,Chapéus,,"Boné Animal Print, Mulher, Cinzento Chapéus"
"Pack 3 Elásticos de Cabelo, Mulher, Multicolor",3.99,https://mo-online.com/pt/pack-3-elasticos-de-cabelo-mulher-multicolor/000041153012035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw29af9bde/images/hires/890a2767-9e22-4cf5-bebd-816bb23164be.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 3 Elásticos de Cabelo, Mulher, Multicolor Chapéus"
"Gancho de Cabelo, Mulher, Castanho",4.99,https://mo-online.com/pt/gancho-de-cabelo-mulher-castanho-/000041153010004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7476b7af/images/hires/c60f3d2a-1d73-4fe8-9bfb-3b63c5d6c96b.jpg?sw=1080&sh=1388,Castanho,Chapéus,,"Gancho de Cabelo, Mulher, Castanho Chapéus"
"Pack 3 Elásticos Scrunchies, Mulher, Multicolor",4.99,https://mo-online.com/pt/pack-3-elasticos-scrunchies-mulher-multicolor-/000041152984035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw77df9194/images/hires/2477e4f2-27c2-45fe-a3bd-c2d4118f8ae1.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 3 Elásticos Scrunchies, Mulher, Multicolor Chapéus"
"Pack 2 Elásticos Scrunchies, Mulher, Multicolor",4.99,https://mo-online.com/pt/pack-2-elasticos-scrunchies-mulher-multicolor-/000041152997035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8c395cf7/images/hires/58ae9dc9-4136-4e7d-8cc3-723b511ef26b.jpg?sw=1080&sh=1388,Multicolor,Chapéus,,"Pack 2 Elásticos Scrunchies, Mulher, Multicolor Chapéus"
"Fato de Banho, Mulher, Preto",22.99,https://mo-online.com/pt/fato-de-banho-mulher-preto/000041152387002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw977ead11/images/hires/88bb9115-1e27-4b1b-bece-f12741a582ab.jpg?sw=1080&sh=1388,Preto,Novo,,"Fato de Banho, Mulher, Preto Novo"
"Colete Crochet, Mulher, Amarelo",17.99,https://mo-online.com/pt/colete-crochet-mulher-amarelo/000041152569042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw64a1f9a3/images/hires/b41522b2-e5a1-4f54-92c9-496dede06370.jpg?sw=1080&sh=1388,Amarelo,Malhas,,"Colete Crochet, Mulher, Amarelo Malhas"
"Calções Crochet, Mulher, Amarelo",15.99,https://mo-online.com/pt/calcoes-crochet-mulher-amarelo/000041152558042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw73280d6f/images/hires/1200b96f-174b-4e53-91a3-89b594ef9035.jpg?sw=1080&sh=1388,Amarelo,Saias,Calções,"Calções Crochet, Mulher, Amarelo Saias"
"T-shirt Riscas, Mulher, Preto",7.99,https://mo-online.com/pt/t-shirt-riscas-mulher-preto/000041152270002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw272a3c13/images/hires/f1017458-53f1-4688-8d92-c5b5eb6765c1.jpg?sw=1080&sh=1388,Preto,T-shirts,Tops,"T-shirt Riscas, Mulher, Preto T-shirts Tops"
"T-shirt Riscas, Mulher, Amarelo",7.99,https://mo-online.com/pt/t-shirt-riscas-mulher-amarelo/000041152270042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb6c9781c/images/hires/f0dbb270-8c9a-4c84-93c4-34f699607c4b.jpg?sw=1080&sh=1388,Amarelo,T-shirts,Tops,"T-shirt Riscas, Mulher, Amarelo T-shirts Tops"
"T-shirt Estampada, Mulher, Azul",7.99,https://mo-online.com/pt/t-shirt-estampada-mulher-azul/000041152260003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7dd43c57/images/hires/eb072e29-798f-4937-9815-32d405adb42c.jpg?sw=1080&sh=1388,Azul,T-shirts,Tops,"T-shirt Estampada, Mulher, Azul T-shirts Tops"
"T-shirt Estampada, Mulher, Bege Claro",7.99,https://mo-online.com/pt/t-shirt-estampada-mulher-bege-claro/000041152260021.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd70abee2/images/hires/d27e2dca-ffec-497d-9e1e-9bd2f013d55b.jpg?sw=1080&sh=1388,Bege Claro,T-shirts,Tops,"T-shirt Estampada, Mulher, Bege Claro T-shirts Tops"
"T-shirt Estampada, Mulher, Vermelho Escuro",7.99,https://mo-online.com/pt/t-shirt-estampada-mulher-vermelho-escuro/000041152260015.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2827389d/images/hires/bac2c2a0-c120-42e2-8483-c11cce4a1efa.jpg?sw=1080&sh=1388,Vermelho Escuro,T-shirts,Tops,"T-shirt Estampada, Mulher, Vermelho Escuro T-shirts Tops"
"T-shirt Manga Curta, Mulher, Azul",7.99,https://mo-online.com/pt/t-shirt-manga-curta-mulher-azul/000041152253003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw79974f4c/images/hires/af8bc3de-9fb8-4244-ab16-8d38d222784b.jpg?sw=1080&sh=1388,Azul,T-shirts,Tops,"T-shirt Manga Curta, Mulher, Azul T-shirts Tops"
"Tote Bag MO 30 anos, Mulher, Rosa",12.99,https://mo-online.com/pt/tote-bag-mo-30-anos-mulher-rosa/000041155061038.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw34976b3d/images/hires/d801e87f-08f4-4213-806a-6be4bc8fb42a.jpg?sw=1080&sh=1388,Rosa,Malas & Carteiras,,"Tote Bag MO 30 anos, Mulher, Rosa Malas & Carteiras"
"T-shirt, Mulher, Branco",12.99,https://mo-online.com/pt/t-shirt-mulher-branco/000041155319041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3ed363e5/images/hires/34979884-3c64-4aa8-ae1b-fdac948a62c0.jpg?sw=1080&sh=1388,Branco,T-shirts,Tops,"T-shirt, Mulher, Branco T-shirts Tops"
"T-shirt, Mulher, Amarelo",12.99,https://mo-online.com/pt/t-shirt-mulher-amarelo/000041155319042.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3adfae63/images/hires/be962a2e-824a-4378-ae6a-c9905f8e6e0c.jpg?sw=1080&sh=1388,Amarelo,T-shirts,Tops,"T-shirt, Mulher, Amarelo T-shirts Tops"
"Body, Mulher, Azul",12.99,https://mo-online.com/pt/body-mulher-azul/000041155305003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfb7a0be0/images/hires/549efcbb-4dbd-4d46-a5b5-d18be83715c2.jpg?sw=1080&sh=1388,Azul,T-shirts,Tops,"Body, Mulher, Azul T-shirts Tops"
"T-shirt, Mulher, Rosa Escuro",12.99,https://mo-online.com/pt/t-shirt-mulher-rosa-escuro/000041155319031.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw09a73cda/images/hires/223d2f9d-720e-47e0-b6b5-e3bac768a3a0.jpg?sw=1080&sh=1388,Rosa Escuro,T-shirts,Tops,"T-shirt, Mulher, Rosa Escuro T-shirts Tops"
"Calças Culotte Ricas, Mulher, Azul Claro",15.99,https://mo-online.com/pt/calcas-culotte-ricas-mulher-azul-claro/000041155317022.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5b2907b8/images/hires/2a24602d-d9e1-4b4e-99a9-1ff753f2ef0f.jpg?sw=1080&sh=1388,Azul Claro,Calças,Leggings,"Calças Culotte Ricas, Mulher, Azul Claro Leggings"
"Bolsa, Mulher, Rosa",9.99,https://mo-online.com/pt/bolsa-mulher-rosa/000041152382038.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw52e0a395/images/hires/21463376-e401-42aa-b906-685291a91a31.jpg?sw=1080&sh=1388,Rosa,Malas & Carteiras,,"Bolsa, Mulher, Rosa Malas & Carteiras"
"Body, Mulher, Rosa Escuro",12.99,https://mo-online.com/pt/body-mulher-rosa-escuro/000041155305013.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe9e282c5/images/hires/3660e450-867a-4d50-9ff9-a36ca74f7d76.jpg?sw=1080&sh=1388,Rosa Escuro,T-shirts,Tops,"Body, Mulher, Rosa Escuro T-shirts Tops"
"Cinto, Mulher, Bege",12.99,https://mo-online.com/pt/cinto-mulher-bege/000041152380001.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8fb58140/images/hires/77686d11-8475-4821-9f5b-ec008cfec280.jpg?sw=1080&sh=1388,Bege,Complementos,,"Cinto, Mulher, Bege Complementos"
"Sabonete ACH BRITO x MO 30 Anos, Multicolor",6.99,https://mo-online.com/pt/sabonete-ach-brito-x-mo-30-anos-multicolor/000041155062035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb4a13a1a/images/hires/2f045b5e-033e-457e-9dce-dd04d843158b.jpg?sw=1080&sh=1388,,Acessórios,,"Sabonete ACH BRITO x MO 30 Anos, Multicolor Acessórios"
"Cinto, Mulher, Multicolor",12.99,https://mo-online.com/pt/cinto-mulher-multicolor/000041152351035.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd5d9609b/images/hires/5fdddd1f-4713-4536-8695-f30c3c016b98.jpg?sw=1080&sh=1388,Multicolor,Complementos,,"Cinto, Mulher, Multicolor Complementos"
"Cinto, Mulher, Castanho",12.99,https://mo-online.com/pt/cinto-mulher-castanho/000041152381004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dweff501b5/images/hires/441d9050-77be-462e-9619-b1bcc8369271.jpg?sw=1080&sh=1388,Castanho,Complementos,,"Cinto, Mulher, Castanho Complementos"
"Tote Bag MO 30 anos, Mulher, Azul",12.99,https://mo-online.com/pt/tote-bag-mo-30-anos-mulher-azul/000041155061003.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw37edeaeb/images/hires/7b81cb66-a13b-44c7-8eba-09b40577bb2c.jpg?sw=1080&sh=1388,Azul,Malas & Carteiras,,"Tote Bag MO 30 anos, Mulher, Azul Malas & Carteiras"
"Lenço, Mulher, Rosa",5.99,https://mo-online.com/pt/lenco-mulher-rosa-/000041155148038.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe992ad64/images/hires/ff2faf64-5628-4726-ae7b-0e803b3f515a.jpg?sw=1080&sh=1388,Rosa,Lenços & Écharpes,,"Lenço, Mulher, Rosa Lenços & Écharpes"
"Cinto, Mulher, Castanho",12.99,https://mo-online.com/pt/cinto-mulher-castanho/000041152368004.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw71847da6/images/hires/bc61bc1a-184b-431c-871c-726414839614.jpg?sw=1080&sh=1388,Castanho,Complementos,,"Cinto, Mulher, Castanho Complementos"
"Lenço, Mulher, Branco",7.99,https://mo-online.com/pt/lenco-mulher-branco/000041155144041.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb751582b/images/hires/4a98bc51-715e-4381-b033-b3db421d39dc.jpg?sw=1080&sh=1388,Branco,Lenços & Écharpes,,"Lenço, Mulher, Branco Lenços & Écharpes"
"Lenço Animal Print, Mulher, Preto",5.99,https://mo-online.com/pt/lenco-animal-print-mulher-preto/000041155145002.html,https://mo-online.com/dw/image/v2/BCQK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3628dda5/images/hires/068ef521-815d-440e-914e-c125fb021911.jpg?sw=1080&sh=1388,Preto,Lenços & Écharpes,,"Lenço Animal Print, Mulher, Preto Lenços & Écharpes"
